,phonemic_transcription
0,AA R G
1,AA R
2,AA R
3,AA R B
4,AA R B Z
5,AA R K
6,AA R S
7,AA R CH
8,AA R CH T
9,AA R K S
10,AA R D
11,AA R
12,AA R N T
13,AA R Z
14,AA R G
15,AA R K
16,AA R L T
17,AA R M
18,AA R M Z
19,AA R M D
20,AA R M Z
21,AA R M Z
22,AA R N
23,AA R N T
24,AA R N
25,AA R N
26,AA R N Z
27,AA R N S T
28,AA R N T S
29,AA R P
30,AA R P S
31,AA R S
32,AA R T
33,AA R T S
34,AA R TH
35,AA R T S
36,AA R T S
37,AA R T S T
38,AA R V
39,AA R K S
40,AA R Z T
41,B AA R
42,B AA R Z
43,B AA R
44,B AA R
45,B AA R
46,B AA R Z
47,B AA R B
48,B AA R B Z
49,B AA R B
50,B AA R B D
51,B AA R B Z
52,B AA R K
53,B AA R D
54,B AA R D Z
55,B AA R F
56,B AA R G
57,B AA R JH
58,B AA R JH D
59,B AA R K
60,B AA R K
61,B AA R K T
62,B AA R K S
63,B AA R K S
64,B AA R N
65,B AA R N T
66,B AA R N Z
67,B AA R N Z
68,B AA R
69,B AA R Z
70,B AA R
71,B AA R D
72,B AA R Z
73,B AA R Z
74,B AA R Z
75,B AA R SH
76,B AA R SH
77,B AA R SH CH
78,B AA R T
79,B AA R T S
80,B AA R TH
81,B AA R TH S
82,B AA R T S
83,B AA R CH
84,B AA R T S
85,B AA R Z
86,B Y AA R D
87,K AA R
88,K AA R Z
89,K AA R D
90,K AA R D Z
91,K AA R D Z
92,K AA R D Z
93,K AA R L
94,K AA R L Z
95,K AA R L Z
96,K AA R L
97,K AA R L Z
98,K AA R N
99,K AA R N
100,K AA R N Z
101,K AA R N Z
102,K AA R P
103,K AA R
104,K AA R Z
105,K AA R
106,K AA R Z
107,K AA R Z
108,K AA R S
109,K AA R T
110,K AA R T
111,K AA R T S
112,K AA R V
113,K AA R V D
114,K AA R V Z
115,CH AA R
116,CH AA R D
117,CH AA R JH
118,CH AA R JH D
119,CH AA R L
120,CH AA R L Z
121,CH AA R L Z
122,CH AA R L Z
123,CH AA R M
124,CH AA R M D
125,CH AA R M Z
126,CH AA R D
127,CH AA R T
128,CH AA R T S
129,K L AA R
130,K L AA R
131,K L AA R K
132,K L AA R K S
133,K L AA R K
134,K L AA R K S
135,K L AA R K S
136,Z AA R
137,Z AA R
138,Z AA R Z
139,Z AA R Z
140,D AA R
141,D AA R K
142,D AA R K
143,D AA R N
144,D AA R N D
145,D AA R N Z
146,D AA R
147,D AA R S T
148,D AA R T
149,D AA R T S
150,D AA R TH
151,D AA R T S
152,D AA R T
153,F AA R
154,F AA R
155,F AA R Z
156,F AA R B
157,F AA R S
158,F AA R JH
159,F AA R M
160,F AA R M Z
161,F AA R M D
162,F AA R M Z
163,F AA R M Z
164,F AA R N Z
165,F AA R
166,F AA R T
167,F AA R V
168,F L AA R
169,G AA R
170,G AA R
171,G AA R
172,G AA R B
173,G AA R B
174,G AA R B D
175,G AA R D
176,G AA R D
177,G AA R G
178,G AA R L
179,G AA R M Z
180,G AA R N
181,G AA R N Z
182,G AA R P
183,G AA R P S
184,G AA R P S
185,G AA R Z
186,G AA R S K
187,G AA R S T
188,G AA R TH
189,G AA R T S K
190,JH AA R D
191,N AA R L
192,N AA R L
193,N AA R L D
194,N AA R L Z
195,G AA R
196,G AA R D
197,G AA R D Z
198,G AA R D Z
199,HH AA R
200,HH AA R
201,HH AA R B
202,HH AA R K
203,HH AA R D
204,HH AA R D Z
205,HH AA R T
206,HH AA R F
207,HH AA R K
208,HH AA R K
209,HH AA R K S
210,HH AA R L
211,HH AA R M
212,HH AA R M Z
213,HH AA R M D
214,HH AA R M Z
215,HH AA R M Z
216,HH AA R N
217,HH AA R N
218,HH AA R N D
219,HH AA R P
220,HH AA R P
221,HH AA R P T
222,HH AA R P S
223,HH AA R P S T
224,HH AA R SH
225,HH AA R SH
226,HH AA R T
227,HH AA R T S
228,HH AA R T
229,HH AA R TH
230,HH AA R T S
231,HH AA R T
232,HH AA R T S
233,HH AA R V
234,HH AA R V
235,HH AA R T
236,HH AA R T S
237,HH AA R TH
238,HH AA R TH S
239,HH AA R T S
240,HH W AA R D
241,JH AA R
242,JH AA R
243,JH AA R D
244,JH AA R Z
245,K AA R
246,K AA R Z
247,K AA R
248,K AA R Z
249,K AA R K
250,K AA R CH
251,K AA R G
252,K AA R L
253,K AA R L Z
254,K AA R L Z
255,K AA R N
256,K AA R N Z
257,K AA R N Z
258,K AA R P
259,K AA R P F
260,K AA R
261,K AA R SH
262,K AA R S T
263,K AA R T S
264,K AA R G
265,K Y AA R
266,K L AA R
267,L AA R
268,L AA R
269,L AA R CH
270,L AA R D
271,L AA R JH
272,L AA R K
273,L AA R K
274,L AA R K S
275,L AA R N D
276,L AA R Z
277,L AA R SH
278,M AA R
279,M AA R
280,M AA R T
281,M AA R
282,M AA R K
283,M AA R CH
284,M AA R SH
285,M AA R CH T
286,M AA R K S
287,M AA R JH
288,M AA R JH
289,M AA R K
290,M AA R K S
291,M AA R K
292,M AA R K T
293,M AA R K S
294,M AA R K
295,M AA R K S
296,M AA R
297,M AA R D
298,M AA R Z
299,M AA R Z
300,M AA R Z
301,M AA R SH
302,M AA R SH K
303,M AA R S
304,M AA R SH
305,M AA R T
306,M AA R T S
307,M AA R T
308,M AA R TH
309,M AA R DH
310,M AA R T S
311,M AA R T S
312,M AA R V
313,M AA R K S
314,M AA R Z
315,M AA R
316,M AA R
317,M AA R K
318,M AA R K S
319,N AA R K
320,N AA R D
321,N AA R Z
322,AA R
323,AA R Z
324,P AA R
325,P AA R
326,P AA R Z
327,P AA R K
328,P AA R CH
329,P AA R CH T
330,P AA R D
331,P AA R K
332,P AA R K S
333,P AA R K
334,P AA R K T
335,P AA R K S
336,P AA R K S
337,P AA R K S
338,P AA R N Z
339,P AA R
340,P AA R Z
341,P AA R S
342,P AA R S T
343,P AA R T
344,P AA R T S
345,P AA R CH
346,P AA R T
347,P AA R T S
348,P AA R T S
349,F AA R
350,F AA R
351,F AA R
352,K W AA R K
353,K W AA R K S
354,K W AA R
355,AA R
356,AA R Z
357,AA R
358,AA R Z
359,AA R Z
360,S AA R
361,S AA R
362,S AA R F
363,S AA R JH
364,S AA R K
365,S AA R L Z
366,S AA R Z
367,S K AA R
368,S K AA R F
369,S K AA R F
370,S K AA R F S
371,S K AA R P
372,S K AA R D
373,S K AA R Z
374,S K AA R V Z
375,SH AA R
376,SH AA R
377,SH AA R T
378,SH AA R F
379,S K AA R F
380,SH AA R F
381,SH AA R P
382,SH AA R P F
383,SH AA R
384,SH AA R T S
385,SH L AA R B
386,SH AA R D
387,SH AA R D Z
388,SH AA R F
389,SH AA R K
390,SH AA R K S
391,SH AA R M
392,SH AA R P
393,SH AA R P S
394,SH AA R P
395,SH AA R P S
396,S K AA R
397,S K L AA R
398,S M AA R T
399,S M AA R T S
400,S M AA R T
401,S N AA R L
402,S N AA R L Z
403,S P AA R
404,S P AA R
405,S P AA R K
406,S P AA R K
407,S P AA R K T
408,S P AA R K S
409,S P AA R K S
410,S P AA R D
411,S P AA R S
412,S P AA R T S
413,S F AA R
414,S P AA R
415,S T AA R
416,S T AA R Z
417,S T AA R
418,S T AA R Z
419,S T AA R CH
420,S T AA R CH T
421,S T AA R K
422,S T AA R K
423,S T AA R K S
424,S T AA R K
425,S T AA R K S
426,S T AA R K S
427,S T AA R N
428,S T AA R N Z
429,S T AA R N Z
430,S T AA R
431,S T AA R Z
432,S T AA R D
433,S T AA R Z
434,S T AA R Z
435,S T AA R Z
436,S T AA R T
437,S T AA R T S
438,S T AA R V
439,S T AA R V D
440,S T AA R V Z
441,S W AA R D
442,T AA R
443,T AA R P
444,T AA R P S
445,T AA R
446,T AA R D
447,T AA R T
448,T AA R T
449,T AA R T S
450,T AA R T
451,TH AA R
452,TH AA R P
453,TH AA R P
454,TH AA R P S
455,JH AA R K S
456,Z AA R
457,T S AA R
458,V AA R N
459,V AA R N Z
460,V AA R Z
461,V AA R V Z
462,V W AA R
463,W AA R F
464,HH W AA R F
465,Y AA R
466,Y AA R D
467,Y AA R D Z
468,Y AA R D
469,Y AA R D Z
470,Y AA R N
471,Y AA R N Z
472,Z AA R B
473,Z AA R
474,AA R D V AA R K
475,AA R D V AA R K S
476,AA R SH AA R D
477,AA R T K AA R V
478,AA R T K AA R V D
479,B AA R G AA R
480,B AA R N AA R D
481,B AA R N AA R D Z
482,B AA R N HH AA R D
483,B AA R N HH AA R T
484,B AA R N HH AA R T
485,B AA R N Y AA R D
486,K AA R HH AA R T
487,D AA R D AA R
488,F AA R M Y AA R D
489,F AA R K W AA R
490,HH AA R D AA R T
491,HH AA R T M AA R K S
492,M AA R K W AA R D
493,M AA R K W AA R T
494,M AA R K W AA R T
495,P AA R M AA R
496,P AA R P AA R T
497,S AA R K AA R
498,S M AA R T K AA R D
499,IY R M AA R K
500,IY R M AA R K T
501,IY R M AA R K S
502,G IY R HH AA R T
503,G IY R HH AA R T
504,K IY R S AA R JH
505,B L OW HH AA R D
506,B L OW HH AA R D Z
507,B OW T Y AA R D
508,B OW G AA R T
509,B OW N W AA R
510,B OW Y AA R
511,K OW S T AA R
512,K OW S T AA R Z
513,K R OW B AA R
514,JH OW K AA R
515,JH OW K AA R Z
516,JH OW K AA R
517,F L OW CH AA R T
518,F L OW CH AA R T S
519,G L OW M AA R
520,G OW K AA R T
521,G R OW S B AA R D
522,HH OW B AA R T
523,HH OW G AA R TH
524,HH OW M AA R T
525,L OW D S T AA R
526,M OW S T AA R
527,M OW S T AA R Z
528,M OW Z AA R T
529,M OW T S AA R T
530,M OW Z AA R T S
531,M OW T S AA R T S
532,OW B AA R
533,OW K AA R
534,OW K M AA R K
535,OW B AA R
536,OW M AA R
537,OW M AA R
538,OW Z AA R K
539,OW Z AA R K S
540,P L OW K AA R
541,P OW S T K AA R D
542,P OW S K AA R D
543,P OW S T K AA R D Z
544,P OW S K AA R D Z
545,P OW S T M AA R K
546,P OW S T M AA R K T
547,R OW K AA R D
548,R OW SH AA R D
549,R OW K AA R
550,R OW K AA R
551,S OW N AA R
552,T OW K AA R
553,T OW K AA R Z
554,T OW K AA R Z
555,T OW V AA R
556,N OW V OW F AA R M
557,AA L M OW D OW V AA R
558,T ER B OW CH AA R JH
559,T ER B OW CH AA R JH D
560,EH R OW M AA R
561,EH R OW S T AA R
562,EH R OW S T AA R Z
563,EH R OW S T AA R Z
564,EH S K OW B AA R
565,EH S K OW B AA R Z
566,AO T OW P AA R T
567,AO T OW P AA R T S
568,D AH B AH Y UW OW AA R
569,D AH B EH L Y UW OW AA R
570,Y UH R OW S T AA R
571,B AW M G AA R T
572,B AW M G AA R T
573,B AW M HH AA R T
574,B AW M S T AA R K
575,K AW AA R T
576,HH AW AA R TH
577,K R AW SH AA R
578,M AW TH P AA R T
579,M AW TH P AA R T S
580,AW T S M AA R T
581,AW T S M AA R T S
582,S AW TH M AA R K
583,S AW TH M AA R K S
584,B OY L AA R D
585,D OY CH M AA R K
586,D OY CH M AA R K S
587,D OY CH M AA R K S
588,S T OY AA R T
589,AY D AA R
590,B R AY T B AA R TH
591,D AY HH AA R D
592,D AY HH AA R D Z
593,D AY N HH AA R T
594,AY N S P AA R
595,F AY R AA R M
596,F AY R AA R M Z
597,F R AY M AA R K
598,G AY D AA R
599,G AY D AA R Z
600,G AY D AA R
601,ZH AY R W AA R
602,L AY N HH AA R T
603,L AY N AA R T
604,L AY P HH AA R T
605,L AY F G AA R D
606,L AY F G AA R D Z
607,M AY N HH AA R T
608,M AY N HH AA R T
609,M AY N HH AA R T
610,M AY Z AA R
611,M AY Z AA R Z
612,M AY L AA R
613,N AY D HH AA R T
614,N AY D HH AA R T
615,N AY Z AA R
616,N AY G AA R D
617,P R AY M S T AA R
618,R AY K AA R T
619,R AY N HH AA R D
620,R AY N HH AA R T
621,R AY N HH AA R T
622,R AY N HH AA R T S
623,R AY N HH AA R T
624,R AY N HH AA R T
625,R AY N HH AA R T
626,R AY N HH AA R T
627,SH W AY G HH AA R T
628,S AY D AA R M
629,S AY D AA R M Z
630,S AY D B AA R
631,S AY D B AA R Z
632,S K AY L AA R K
633,S K AY L AA R K S
634,S T AY N HH AA R T
635,S T AY N HH AA R T S
636,S T AY N HH AA R T
637,S T AY N AA R
638,S W AY N HH AA R T
639,S AY N AA R
640,T AY G AA R
641,T AY G AA R Z
642,T R AY AA R K
643,T R AY S T AA R
644,T R AY AA R T
645,T AY G AA R
646,T AY G AA R T
647,V AY M AA R
648,W AY NG G AA R T
649,W AY N HH AA R T
650,W AY SH AA R
651,W AY AA R D
652,W AY L D K AA R D
653,W AY Z HH AA R T
654,K AO R N S T AA R CH
655,K AO R T Y AA R D
656,K AO R T Y AA R D Z
657,F L AO R S P AA R
658,F AO R AA R M
659,F AO R AA R M
660,F AO R AA R M Z
661,F AO R AA R M Z
662,M AO R HH AA R T
663,M AO R G AA R T
664,N AO R G AA R D
665,N AO R S T AA R
666,N AO R TH S T AA R
667,N AO R TH S T AA R Z
668,S K AO R K AA R D
669,S K AO R K AA R D Z
670,S P AO R T S B AA R
671,T AO R CH M AA R K
672,T AO R S T AA R
673,EY D AA R
674,B EY Y AA R
675,B R EY V HH AA R T
676,K EY P HH AA R T
677,S EY S AA R Z
678,D EY K AA R T
679,D EY K AA R T S
680,D EY Z AA R N
681,G EY B HH AA R T
682,G EY D AA R
683,G EY HH AA R T
684,G EY HH AA R T
685,G R EY V Y AA R D
686,G R EY V Y AA R D Z
687,HH EY G AA R
688,K EY M AA R T
689,K EY M AA R T S
690,K EY M AA R T
691,K EY M AA R T S
692,L EY N HH AA R T
693,L EY N AA R Z
694,M EY HH AA R G
695,N EY Y AA R
696,N EY HH AA R T
697,K W EY Z AA R
698,R EY D AA R
699,R EY D AA R Z
700,R EY M AA R K
701,R EY M AA R K S
702,S EY F K AA R D
703,S EY F K AA R D Z
704,S EY F G AA R D
705,S EY F G AA R D Z
706,S EY F AA R TH
707,T R EY D M AA R K
708,T R EY D M AA R K T
709,T R EY D M AA R K S
710,Z EY D AA R
711,B AA L D EY M AA R
712,V AA L D EY M AA R
713,HH OW S EY V AA R
714,K EY JH EY EY AA R
715,B UH K M AA R K
716,B UH K M AA R K S
717,B UH D V AA R
718,B UH SH AA R T
719,F L UH R S P AA R
720,G UH D B AA R
721,G UH D HH AA R T
722,G UH D HH AA R T
723,SH UH R G AA R D
724,W UH L F AA R TH
725,W UH D Y AA R D
726,B R W IY L AA R D
727,SH W IY N AA R D
728,K W IY L AA R D
729,D IY V W AA R
730,D IY M AA R CH
731,D IY T AA R
732,D R W IY L AA R D
733,JH IY AA R D
734,G W IY Z AA R
735,IY S AA R
736,IY T AA R
737,JH IY AA R
738,L IY P HH AA R T
739,L IY N HH AA R D
740,L IY N HH AA R T
741,P IY N T AA R
742,P R IY M AA R K
743,R IY AA R M
744,R IY B AA R
745,R IY CH AA R JH
746,R IY CH AA R JH D
747,R IY M AA R K
748,R IY M AA R K T
749,R IY M AA R K S
750,R IY S T AA R T
751,R IY T AA R D
752,R IY T AA R D Z
753,R W IY L AA R D
754,S T R IY T K AA R
755,S W IY T HH AA R T
756,S W IY T HH AA R T S
757,S W IY G AA R T
758,Z IY B AA R TH
759,AA K W IY L AA R
760,B AA D IY G AA R D
761,B AA D IY G AA R D Z
762,S AA L D IY V AA R
763,Z AA L D IY V AA R
764,M AH N IY K AA R D
765,M AH L T IY P AA R T
766,K AE V IY AA R
767,M AH G AE L IY AA R D
768,M EH S IY AA R
769,EH N P IY AA R
770,EH N P IY AA R Z
771,IY EH M D IY AA R
772,B AH T EH R IY M AA R CH
773,HH IH R IY AA R T
774,M IH N IY K AA R
775,M IH N IY K AA R Z
776,JH UW L IY AA R D
777,JH UW L IY AA R D
778,M EY T R IY AA R K
779,M EY N Y IY V AA R
780,P EY T R IY AA R K
781,P EY T R IY AA R K S
782,P EY T R IY AA R K S
783,S T EY N IY AA R
784,AA K B AA R
785,AA L G AA R
786,AA L AA R
787,AA L Z G AA R D
788,AA N W AA R
789,AA M W AA R
790,AA M W AA R Z
791,AA S G AA R D
792,AA Z AA R
793,B AA B AA R
794,B AA B AA R Z
795,B AA M G AA R T
796,B AA M G AA R T
797,B AA M HH AA R T
798,B AA M S T AA R K
799,B AA HH AA R T
800,B AA M B AA R D
801,B AA S AA R G
802,B AA SH AA R T
803,B AA K S K AA R
804,B AA K S K AA R Z
805,B R AA S AA R T
806,K AA L M AA R K
807,K AA L M AA R T
808,K AA L M AA R T S
809,K AA N S T AA R
810,K AA Z AA R T
811,T S AA SH AA R
812,D AA K AA R
813,D AA K Y AA R D
814,F L AA K HH AA R T
815,G AA N K AA R Z
816,ZH AA N D AA R M
817,G AA D AA R T
818,G AA D AA R T
819,G AA TH AA R T
820,HH AA Y AA R
821,HH AA L M AA R K
822,Y AA M AA R
823,L AA F AA R JH
824,L AA M AA R
825,L AA M AA R Z
826,L AA M AA R
827,L AA M AA R
828,L AA Z AA R Z
829,L AA K AA R T
830,L AA K HH AA R T
831,L AA M B AA R D
832,L AA M B AA R D Z
833,L AA N K AA R
834,M AA N AA R K
835,M AA N AA R K S
836,M AA N AA R K S
837,M Y AA N M AA R
838,M Y AA N M AA R Z
839,N AA Y AA R
840,N AA Y AA R
841,N AA V AA R
842,N AA V AA R
843,N AA Z AA R
844,N AA N F AA R M
845,N AA N F AA R M
846,AA T M AA R
847,AA K S K AA R T
848,P AA K M AA R K
849,P AA K M AA R K T
850,P AA D N AA R
851,R AA B AA R G
852,R AA B AA R T
853,R AA B AA R T S
854,R AA D AA R T
855,S AA G AA R
856,S K AA CH G AA R D
857,S T AA K Y AA R D
858,S T AA K Y AA R D Z
859,T AA B AA R
860,T AA T AA R
861,T AA T AA R Z
862,Z AA G AA R
863,Z AA L AA R
864,R AA V IY SH AA NG K AA R
865,AA L M AA N Z AA R
866,B AA L T AA Z AA R
867,AH V AA N T G AA R D
868,AH V AA N G AA R D
869,JH AY AH SH AA NG K AA R
870,D EY L AA M AA R
871,S UW K T AA NG K AA R
872,K OW L TH AA R P
873,G OW L D F AA R B
874,G OW L D M AA R K
875,G OW L D S T AA R
876,G OW L K AA R
877,M OW L N AA R
878,OW L D Z M AA R
879,S OW L AA R Z
880,S T OW L AA R Z
881,W OW L F AA R TH
882,M EH D OW L AA R K
883,AH D AA R
884,AH F AA R
885,AH HH AA R T
886,AH JH AA R
887,AH L AA R D
888,AH L AA R M
889,AH L AA R M Z
890,AH L AA R M D
891,AH L AA R M Z
892,AH M AA R
893,AH M AA R Z
894,AH P AA R T
895,AH Z AA R
896,AH Z AA R Z
897,B AH SH AA R
898,B AH Z AA R
899,B AH Z AA R Z
900,B AH Z AA R
901,B AH Z AA R
902,B AH D N AA R
903,B AH G AA R
904,B AH G N AA R
905,B AH L Y AA R D
906,B AH M AA R
907,B AH N D AA R
908,B AH NG G AA R D
909,B AH S AA R D
910,B AH S AA R T
911,B AH V AA R D
912,B AH Z AA R D
913,B R AH S AA R D
914,B R AH NG G AA R T
915,B AH D V AA R
916,B AH N Y AA R D
917,K AH N AA R D
918,S AH S AA R
919,K AH T N W AA R
920,D AH M AA R K
921,D AH SH AA R M
922,D AH HH AA R T
923,D AH K AA R T
924,D AH N B AA R
925,F AH Y AA R D
926,G AH B AA R D
927,G AH L AA R D
928,G AH S P AA R D
929,G AH F AA R
930,ZH AH L Y AA R D
931,G AH D AA R
932,G AH D AA R D
933,G AH M B AA R
934,G AH S AA R D
935,G AH M AA R
936,HH AH M AA R
937,HH AH L Y AA R D
938,HH AH G HH AA R T
939,JH AH B AA R
940,JH AH B AA R Z
941,JH AH B AA R
942,JH AH F AA R
943,JH AH M P S T AA R T
944,JH AH M P S T AA R T S
945,JH AH NG K Y AA R D
946,JH AH NG K Y AA R D Z
947,K AH B AA R T
948,K AH D AA R
949,L AH B AA R
950,L AH Z AA R D
951,L AH K HH AA R T
952,L AH M B AA R
953,L AH N D M AA R K
954,M AH K AA R D
955,M AH K AA R L
956,M AH K AA R N
957,M AH K AA R T
958,M AH K AA R T
