word,phonemic_transcription,vowel_syllable_count
aargh,AA R G,1
ahr,AA R,1
ar,AA R,1
arb,AA R B,1
arbs,AA R B Z,1
arc,AA R K,1
arce,AA R S,1
arch,AA R CH,1
arched,AA R CH T,1
arcs,AA R K S,1
ard,AA R D,1
are,AA R,1
aren't(1),AA R N T,1
ares,AA R Z,1
argh,AA R G,1
ark,AA R K,1
arlt,AA R L T,1
arm,AA R M,1
arm's,AA R M Z,1
armed,AA R M D,1
armes,AA R M Z,1
arms,AA R M Z,1
arn,AA R N,1
arndt,AA R N T,1
arne,AA R N,1
arnn,AA R N,1
arns,AA R N Z,1
arnst,AA R N S T,1
arntz,AA R N T S,1
arp,AA R P,1
arps,AA R P S,1
arse,AA R S,1
art,AA R T,1
art's,AA R T S,1
arth,AA R TH,1
arts,AA R T S,1
artz,AA R T S,1
artzt,AA R T S T,1
arve,AA R V,1
arx,AA R K S,1
arzt,AA R Z T,1
baar,B AA R,1
baars,B AA R Z,1
bahr(1),B AA R,1
bahre,B AA R,1
bar,B AA R,1
bar's,B AA R Z,1
barb,B AA R B,1
barb's,B AA R B Z,1
barbe,B AA R B,1
barbed,B AA R B D,1
barbs,B AA R B Z,1
barch,B AA R K,1
bard,B AA R D,1
bard's,B AA R D Z,1
barf,B AA R F,1
barg,B AA R G,1
barge,B AA R JH,1
barged,B AA R JH D,1
bark,B AA R K,1
barke,B AA R K,1
barked,B AA R K T,1
barkes,B AA R K S,1
barks,B AA R K S,1
barn,B AA R N,1
barndt,B AA R N T,1
barnes,B AA R N Z,1
barns,B AA R N Z,1
barr,B AA R,1
barr's,B AA R Z,1
barre(1),B AA R,1
barred,B AA R D,1
barres,B AA R Z,1
barrs,B AA R Z,1
bars,B AA R Z,1
barsch,B AA R SH,1
barsh,B AA R SH,1
barszcz,B AA R SH CH,1
bart,B AA R T,1
bart's,B AA R T S,1
barth,B AA R TH,1
barthes,B AA R TH S,1
barts,B AA R T S,1
bartsch,B AA R CH,1
bartz,B AA R T S,1
barz,B AA R Z,1
byard,B Y AA R D,1
car,K AA R,1
car's,K AA R Z,1
card,K AA R D,1
card's,K AA R D Z,1
cards,K AA R D Z,1
cards',K AA R D Z,1
carl,K AA R L,1
carl's,K AA R L Z,1
carles,K AA R L Z,1
carll,K AA R L,1
carls,K AA R L Z,1
carn,K AA R N,1
carne,K AA R N,1
carnes,K AA R N Z,1
carns,K AA R N Z,1
carp,K AA R P,1
carr,K AA R,1
carr's,K AA R Z,1
carre,K AA R,1
cars,K AA R Z,1
cars',K AA R Z,1
carse,K AA R S,1
cart,K AA R T,1
carte,K AA R T,1
carts,K AA R T S,1
carve,K AA R V,1
carved,K AA R V D,1
carves,K AA R V Z,1
char,CH AA R,1
chard,CH AA R D,1
charge,CH AA R JH,1
charged,CH AA R JH D,1
charle,CH AA R L,1
charles,CH AA R L Z,1
charles',CH AA R L Z,1
charls,CH AA R L Z,1
charm,CH AA R M,1
charmed,CH AA R M D,1
charms,CH AA R M Z,1
charred,CH AA R D,1
chart,CH AA R T,1
