trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-273.73713677683696,"{0: 18, 1: 4, 2: 7, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.915920900117314,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.4709806699501,"{0: 8, 1: 7, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.41006220632352,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.35307891571762,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-30.233386041783444,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,12,0.10594371684610637,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.71450551542837,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,17,-25.979444534959157,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.37245229404493,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.88263673703904,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-245.9292972905176,"{0: 10, 1: 2, 2: 9, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.0416928372418,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.5821334583401,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,16,-32.49590562558324,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.173206721838795,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-252.5646194192381,"{0: 17, 1: 4, 2: 9, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,4,-226.25085346231248,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 4}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.46577442798872,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.27232187642731,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.32583684703917,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.95704148277343,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-267.14761101654017,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.7363200504928,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.75356694007797,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.53707330199784,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.56824739019525,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.835443635237,"{0: 12, 1: 2, 2: 5, 3: 4, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.68281299056682,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,14,-26.066647113829738,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 0}",1
