trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-85.78308883609733,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-133.46706243882568,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-239.81458521873395,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-128.10622064064412,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-132.79710426562252,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-81.43382607748353,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,12,17.45591550606471,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-89.80641302293502,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-199.32100110456258,"{0: 22, 1: 4, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-63.969039246814894,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,11,-125.53751424998046,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,4,-34.542188707157315,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,13,19.091437466939166,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,-2.0194171020984397,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-83.2894138044299,"{0: 27, 1: 4, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-39.413161679831276,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-3.7401654324581033,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-0.3930091350763977,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,37.09828440591911,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,4,-15.063151434545766,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-68.72343205236294,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,18,10.536753758386487,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,5,-10.19041149577101,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,12,-62.76862766056921,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,2,-37.52259360788387,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,8,10.841330928894841,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,4,-101.03221018354571,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 3}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,16,13.701587323675422,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,2.48281083166706,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-47.93077361366258,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
