trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.0}",25,0,-187.65523947974725,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.7071067811865475}",20,0,-94.67744883099796,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.5773502691896258}",30,7,-82.83018127551588,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.3, 'e': 0.5}",20,0,-82.17062871429407,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.4472135954999579}",20,0,-109.71159114179973,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.4082482904638631}",30,0,-55.85595921640648,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",1
7,False,"{'a': 0.3, 'e': 0.3779644730092272}",20,0,-33.47077540753442,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.35355339059327373}",30,7,-68.87274967379143,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.3, 'e': 0.3333333333333333}",25,0,-3.797663173276421,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.31622776601683794}",20,0,-107.09227317751437,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.3, 'e': 0.30151134457776363}",20,0,-39.865945509585146,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.2886751345948129}",25,0,-136.92458558726068,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.3, 'e': 0.2773500981126146}",25,0,-69.28949270977995,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.2672612419124244}",20,0,-97.82571702131848,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.2581988897471611}",25,0,-55.93414271198897,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.25}",20,0,-178.9326176401272,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
17,False,"{'a': 0.3, 'e': 0.24253562503633297}",30,0,-19.216569119929893,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.3, 'e': 0.23570226039551587}",20,0,-119.10877929626618,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.22941573387056174}",30,0,-68.84264636766622,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.22360679774997896}",20,6,-71.59130150173972,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
21,False,"{'a': 0.3, 'e': 0.2182178902359924}",30,0,-38.586050064430616,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.3, 'e': 0.21320071635561041}",25,0,-66.05720869871928,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
23,False,"{'a': 0.3, 'e': 0.20851441405707477}",35,0,-117.69313775572016,"{0: 28, 1: 0, 2: 3, 3: 2, 4: 2}",0
24,False,"{'a': 0.3, 'e': 0.20412414523193154}",25,0,-55.24610490723718,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.3, 'e': 0.2}",25,0,-112.53432630260065,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
26,False,"{'a': 0.3, 'e': 0.19611613513818404}",25,0,-26.5556949525237,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.3, 'e': 0.19245008972987526}",30,1,-68.03316164322781,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 2}",1
28,False,"{'a': 0.3, 'e': 0.1889822365046136}",25,0,32.21779677246762,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.3, 'e': 0.18569533817705186}",25,17,-7.585690430224464,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
